省市区名,地市名,县市区名,县市区代码
北京市,北京市,东城区,110101
北京市,北京市,西城区,110102
北京市,北京市,[崇文区],110103
北京市,北京市,[宣武区],110104
北京市,北京市,朝阳区,110105
北京市,北京市,丰台区,110106
北京市,北京市,石景山区,110107
北京市,北京市,海淀区,110108
北京市,北京市,门头沟区,110109
北京市,北京市,[燕山区],110110
北京市,北京市,房山区,110111
北京市,北京市,通州区,110112
北京市,北京市,顺义区,110113
北京市,北京市,昌平区,110114
北京市,北京市,大兴区,110115
北京市,北京市,怀柔区,110116
北京市,北京市,平谷区,110117
北京市,北京市,密云区,110118
北京市,北京市,延庆区,110119
北京市,北京市,[昌平县],110221
北京市,北京市,[顺义县],110222
北京市,北京市,[通县],110223
北京市,北京市,[大兴县],110224
北京市,北京市,[房山县],110225
北京市,北京市,[平谷县],110226
北京市,北京市,[怀柔县],110227
北京市,北京市,[密云县],110228
北京市,北京市,[延庆县],110229
天津市,天津市,和平区,120101
天津市,天津市,河东区,120102
天津市,天津市,河西区,120103
天津市,天津市,南开区,120104
天津市,天津市,河北区,120105
天津市,天津市,红桥区,120106
天津市,天津市,[塘沽区],120107
天津市,天津市,[汉沽区],120108
天津市,天津市,[大港区],120109
天津市,天津市,东丽区,120110
天津市,天津市,西青区,120111
天津市,天津市,津南区,120112
天津市,天津市,北辰区,120113
天津市,天津市,武清区,120114
天津市,天津市,宝坻区,120115
天津市,天津市,滨海新区,120116
天津市,天津市,宁河区,120117
天津市,天津市,静海区,120118
天津市,天津市,蓟州区,120119
天津市,天津市,[宁河县],120221
天津市,天津市,[武清县],120222
天津市,天津市,[静海县],120223
天津市,天津市,[宝坻县],120224
天津市,天津市,[蓟县],120225
河北省,石家庄市,长安区,130102
河北省,石家庄市,[桥东区],130103
河北省,石家庄市,桥西区,130104
河北省,石家庄市,新华区,130105
河北省,石家庄市,[郊区],130106
河北省,石家庄市,井陉矿区,130107
河北省,石家庄市,裕华区,130108
河北省,石家庄市,藁城区,130109
河北省,石家庄市,鹿泉区,130110
河北省,石家庄市,栾城区,130111
河北省,石家庄市,井陉县,130121
河北省,石家庄市,[获鹿县],130122
河北省,石家庄市,正定县,130123
河北省,石家庄市,[栾城县],130124
河北省,石家庄市,行唐县,130125
河北省,石家庄市,灵寿县,130126
河北省,石家庄市,高邑县,130127
河北省,石家庄市,深泽县,130128
河北省,石家庄市,赞皇县,130129
河北省,石家庄市,无极县,130130
河北省,石家庄市,平山县,130131
河北省,石家庄市,元氏县,130132
河北省,石家庄市,赵县,130133
河北省,石家庄市,辛集市,130181
河北省,石家庄市,[藁城市],130182
河北省,石家庄市,晋州市,130183
